Temperature,L,R,A_M,Color,Spectral_Class,Type
3068,0.0024,0.17,16.12,Red,M,0
3042,0.0005,0.1542,16.6,Red,M,0
2600,0.0003,0.102,18.7,Red,M,0
2800,0.0002,0.16,16.65,Red,M,0
1939,0.000138,0.103,20.06,Red,M,0
2840,0.00065,0.11,16.98,Red,M,0
2637,0.00073,0.127,17.22,Red,M,0
2600,0.0004,0.096,17.4,Red,M,0
2650,0.00069,0.11,17.45,Red,M,0
2700,0.00018,0.13,16.05,Red,M,0
3600,0.0029,0.51,10.69,Red,M,1
3129,0.0122,0.3761,11.79,Red,M,1
3134,0.0004,0.196,13.21,Red,M,1
3628,0.0055,0.393,10.48,Red,M,1
2650,0.0006,0.14,11.782,Red,M,1
3340,0.0038,0.24,13.07,Red,M,1
2799,0.0018,0.16,14.79,Red,M,1
3692,0.00367,0.47,10.8,Red,M,1
3192,0.00362,0.1967,13.53,Red,M,1
3441,0.039,0.351,11.18,Red,M,1
25000,0.056,0.0084,10.58,Blue White,B,2
7740,0.00049,0.01234,14.02,White,A,2
7220,0.00017,0.011,14.23,White,F,2
8500,0.0005,0.01,14.5,White,A,2
16500,0.013,0.014,11.89,Blue White,B,2
12990,8.5e-05,0.00984,12.23,Yellowish White,F,2
8570,0.00081,0.0097,14.2,Blue white,A,2
7700,0.00011,0.0128,14.47,Yellowish White,F,2
11790,0.00015,0.011,12.59,Yellowish White,F,2
7230,8e-05,0.013,14.08,Pale yellow orange,F,2
39000,204000.0,10.6,-4.7,Blue,O,3
30000,28840.0,6.3,-4.2,Blue-white,B,3
15276,1136.0,7.2,-1.97,Blue-white,B,3
9700,74.0,2.89,0.16,Whitish,B,3
5800,0.81,0.9,5.05,yellow-white,F,3
8052,8.7,1.8,2.42,Whitish,A,3
6757,1.43,1.12,2.41,yellow-white,F,3
6380,1.35,0.98,2.93,yellow-white,F,3
5936,1.357,1.106,4.46,yellow-white,F,3
5587,0.819,0.99,5.03,yellow-white,F,3
3826,200000.0,19.0,-6.93,Red,M,4
3365,340000.0,23.0,-6.2,Red,M,4
3270,150000.0,88.0,-6.02,Red,M,4
3200,195000.0,17.0,-7.22,Red,M,4
3008,280000.0,25.0,-6.0,Red,M,4
3600,320000.0,29.0,-6.6,Red,M,4
3575,123000.0,45.0,-6.78,Red,M,4
3574,200000.0,89.0,-5.24,Red,M,4
3625,184000.0,84.0,-6.74,Red,M,4
33750,220000.0,26.0,-6.1,Blue,B,4
3490,270000.0,1520.0,-9.4,Red,M,5
3750,283000.0,1260.0,-7.63,Red,M,5
3834,272000.0,1183.0,-9.2,Red,M,5
3749,550000.0,1648.0,-8.05,Orange,M,5
3650,310000.0,1324.0,-7.79,Red,M,5
3450,263000.0,1349.0,-11.75,Red,M,5
3660,363000.0,1673.0,-11.92,Red,M,5
3450,174000.0,1284.0,-11.28,Red,M,5
3752,209000.0,955.0,-11.24,Red,M,5
3535,195000.0,1546.0,-11.36,Red,M,5
3341,0.0056,0.057,16.23,Red,M,0
3432,0.00067,0.19,16.94,Red,M,0
2983,0.00024,0.094,16.09,Red,M,0
2835,0.00034,0.0918,16.96,Red,M,0
2935,0.00014,0.116,18.89,Red,M,0
3295,0.00098,0.132,17.13,Red,M,0
2945,0.00032,0.093,18.34,Red,M,0
2817,0.00098,0.0911,16.45,Red,M,0
2774,0.00036,0.118,17.39,Red,M,0
2871,0.00072,0.12,19.43,Red,M,0
3345,0.021,0.273,12.3,Red,M,1
3607,0.022,0.38,10.12,Red,M,1
3304,0.0085,0.18,13.2,Red,M,1
3150,0.0088,0.35,11.94,Red,M,1
3550,0.004,0.291,10.89,Red,M,1
3180,0.001,0.35,11.76,Red,M,1
2890,0.0034,0.24,13.46,Red,M,1
3342,0.0015,0.307,11.87,Red,M,1
2621,0.0006,0.098,12.81,Red,M,1
3158,0.00135,0.161,13.98,Red,M,1
7100,0.00029,0.012,14.09,White-Yellow,F,2
10574,0.00014,0.0092,12.02,White,F,2
8930,0.00056,0.0095,13.78,white,A,2
17200,0.00098,0.015,12.45,Blue White,B,2
14100,0.00067,0.0089,12.17,Blue White,B,2
9675,0.00045,0.0109,13.98,Blue White,A,2
12010,0.00078,0.0092,12.13,Blue White,B,2
10980,0.00074,0.0087,11.19,Blue White,B,2
13720,0.00018,0.00892,12.97,white,F,2
19860,0.0011,0.0131,11.34,Blue,B,2
5300,0.59,0.91,5.49,yellow-white,F,3
4526,0.153,0.865,6.506,yellowish,K,3
4077,0.085,0.795,6.228,yellowish,K,3
4980,0.357,1.13,4.78,Yellowish,K,3
9030,45.0,2.63,1.45,Blue-white,A,3
11250,672.0,6.98,-2.3,Blue-white,A,3
5112,0.63,0.876,4.68,Orange-Red,K,3
7720,7.92,1.34,2.44,yellow-white,F,3
12098,689.0,7.01,0.02,Blue-white,A,3
36108,198000.0,10.2,-4.4,Blue,O,3
33300,240000.0,12.0,-6.5,Blue,B,4
40000,813000.0,14.0,-6.23,Blue,O,4
23000,127000.0,36.0,-5.76,Blue,O,4
17120,235000.0,83.0,-6.89,Blue,O,4
11096,112000.0,12.0,-5.91,Blue,O,4
14245,231000.0,42.0,-6.12,Blue,O,4
24630,363000.0,63.0,-5.83,Blue,O,4
12893,184000.0,36.0,-6.34,Blue,O,4
24345,142000.0,57.0,-6.24,Blue,O,4
